type,oc_year,oc_data,oc_county,oc_region
案類,發生年度,發生日期,發生縣市,發生鄉鎮市區
住宅竊盜,104,1001,台北市,士林區
住宅竊盜,104,1001,新竹市,東區
住宅竊盜,104,1001,嘉義市,西區
住宅竊盜,104,1001,新北市,板橋區
住宅竊盜,104,1001,新北市,板橋區
住宅竊盜,104,1001,彰化縣,彰化市
住宅竊盜,104,1001,基隆市,七堵區
住宅竊盜,104,1001,桃園市,龜山區
住宅竊盜,104,1001,南投縣,埔里鎮
住宅竊盜,104,1002,新北市,新莊區
住宅竊盜,104,1002,彰化縣,員林市
住宅竊盜,104,1002,宜蘭縣,宜蘭市
住宅竊盜,104,1002,嘉義市,東區
住宅竊盜,104,1002,台北市,萬華區
住宅竊盜,104,1002,新北市,烏來區
住宅竊盜,104,1002,花蓮縣,新城鄉
住宅竊盜,104,1002,新竹市,北區
住宅竊盜,104,1003,新北市,淡水區
住宅竊盜,104,1003,台北市,中山區
住宅竊盜,104,1003,台北市,內湖區
住宅竊盜,104,1003,彰化縣,田中鎮
住宅竊盜,104,1003,花蓮縣,吉安鄉
住宅竊盜,104,1003,澎湖縣,馬公市
住宅竊盜,104,1003,台北市,萬華區
住宅竊盜,104,1003,新竹市,東區
住宅竊盜,104,1004,新北市,汐止區
住宅竊盜,104,1004,澎湖縣,七美鄉
住宅竊盜,104,1004,苗栗縣,竹南鎮
住宅竊盜,104,1004,台南市,永康區
住宅竊盜,104,1004,南投縣,國姓鄉
住宅竊盜,104,1004,雲林縣,莿桐鄉
住宅竊盜,104,1004,屏東縣,春日鄉
住宅竊盜,104,1004,雲林縣,莿桐鄉
住宅竊盜,104,1005,桃園市,觀音區
住宅竊盜,104,1005,台北市,松山區
住宅竊盜,104,1005,新北市,中和區
住宅竊盜,104,1005,新北市,永和區
住宅竊盜,104,1005,台南市,學甲區
住宅竊盜,104,1005,新北市,板橋區
住宅竊盜,104,1005,新北市,板橋區
住宅竊盜,104,1005,台中市,大雅區
住宅竊盜,104,1005,台南市,安南區
住宅竊盜,104,1005,新北市,新莊區
住宅竊盜,104,1005,新北市,中和區
住宅竊盜,104,1005,新北市,板橋區
住宅竊盜,104,1005,新北市,板橋區
住宅竊盜,104,1005,新北市,三芝區
住宅竊盜,104,1006,新北市,永和區
住宅竊盜,104,1006,苗栗縣,竹南鎮
住宅竊盜,104,1006,雲林縣,水林鄉
住宅竊盜,104,1006,台南市,七股區
住宅竊盜,104,1006,新竹市,東區
住宅竊盜,104,1006,新北市,永和區
住宅竊盜,104,1006,台南市,北門區
住宅竊盜,104,1006,台南市,永康區
住宅竊盜,104,1006,屏東縣,恆春鎮
住宅竊盜,104,1006,台北市,萬華區
住宅竊盜,104,1006,台南市,永康區
住宅竊盜,104,1006,台北市,大同區
住宅竊盜,104,1006,屏東縣,竹田鄉
住宅竊盜,104,1006,台南市,將軍區
住宅竊盜,104,1006,南投縣,埔里鎮
住宅竊盜,104,1007,新竹市,北區
住宅竊盜,104,1007,苗栗縣,銅鑼鄉
住宅竊盜,104,1007,新北市,樹林區
住宅竊盜,104,1007,台北市,信義區
住宅竊盜,104,1007,台南市,永康區
住宅竊盜,104,1007,台北市,文山區
住宅竊盜,104,1007,苗栗縣,後龍鎮
住宅竊盜,104,1007,基隆市,中正區
住宅竊盜,104,1007,新竹縣,新豐鄉
住宅竊盜,104,1007,新北市,永和區
住宅竊盜,104,1007,花蓮縣,花蓮市
住宅竊盜,104,1007,新北市,中和區
住宅竊盜,104,1007,台北市,北投區
住宅竊盜,104,1007,台北市,中山區
住宅竊盜,104,1007,新北市,林口區
住宅竊盜,104,1008,台南市,永康區
住宅竊盜,104,1008,台中市,西區
住宅竊盜,104,1008,新北市,汐止區
住宅竊盜,104,1008,苗栗縣,苗栗市
住宅竊盜,104,1008,花蓮縣,花蓮市
住宅竊盜,104,1008,雲林縣,水林鄉
住宅竊盜,104,1008,台南市,歸仁區
住宅竊盜,104,1008,基隆市,中正區
住宅竊盜,104,1008,基隆市,中山區
住宅竊盜,104,1009,雲林縣,斗六市
住宅竊盜,104,1009,台南市,北區
住宅竊盜,104,1009,南投縣,水里鄉
住宅竊盜,104,1009,新北市,新莊區
住宅竊盜,104,1009,苗栗縣,卓蘭鎮
住宅竊盜,104,1009,南投縣,草屯鎮
住宅竊盜,104,1009,新竹縣,竹東鎮
住宅竊盜,104,1009,嘉義縣,太保市
住宅竊盜,104,1009,台北市,萬華區
住宅竊盜,104,1010,新北市,蘆洲區
住宅竊盜,104,1010,雲林縣,虎尾鎮
住宅竊盜,104,1010,花蓮縣,吉安鄉
住宅竊盜,104,1010,苗栗縣,竹南鎮
住宅竊盜,104,1010,桃園市,觀音區
住宅竊盜,104,1010,高雄市,路竹區
住宅竊盜,104,1010,桃園市,中壢區
住宅竊盜,104,1010,台中市,南區
住宅竊盜,104,1011,宜蘭縣,冬山鄉
住宅竊盜,104,1011,桃園市,桃園區
住宅竊盜,104,1011,屏東縣,屏東市
住宅竊盜,104,1011,台北市,信義區
住宅竊盜,104,1011,台北市,內湖區
住宅竊盜,104,1011,桃園市,中壢區
住宅竊盜,104,1012,彰化縣,鹿港鎮
住宅竊盜,104,1012,台南市,安南區
住宅竊盜,104,1012,雲林縣,二崙鄉
住宅竊盜,104,1012,基隆市,七堵區
住宅竊盜,104,1012,新北市,中和區
住宅竊盜,104,1012,南投縣,水里鄉
住宅竊盜,104,1012,新北市,土城區
住宅竊盜,104,1012,台中市,中區
住宅竊盜,104,1012,桃園市,桃園區
住宅竊盜,104,1013,雲林縣,北港鎮
住宅竊盜,104,1013,桃園市,桃園區
住宅竊盜,104,1013,新北市,三重區
住宅竊盜,104,1013,桃園市,桃園區
住宅竊盜,104,1013,雲林縣,麥寮鄉
住宅竊盜,104,1013,台北市,文山區
住宅竊盜,104,1013,桃園市,八德區
住宅竊盜,104,1013,台北市,信義區
住宅竊盜,104,1013,南投縣,竹山鎮
住宅竊盜,104,1013,新北市,新莊區
住宅竊盜,104,1013,台南市,白河區
住宅竊盜,104,1013,台北市,松山區
住宅竊盜,104,1014,高雄市,美濃區
住宅竊盜,104,1014,新北市,永和區
住宅竊盜,104,1014,台中市,南屯區
住宅竊盜,104,1014,台南市,玉井區
住宅竊盜,104,1014,台中市,烏日區
住宅竊盜,104,1014,屏東縣,屏東市
住宅竊盜,104,1014,新北市,板橋區
住宅竊盜,104,1015,南投縣,名間鄉
住宅竊盜,104,1015,新北市,三重區
住宅竊盜,104,1015,新北市,土城區
住宅竊盜,104,1015,澎湖縣,馬公市
住宅竊盜,104,1016,屏東縣,竹田鄉
住宅竊盜,104,1016,新北市,鶯歌區
住宅竊盜,104,1016,新北市,板橋區
住宅竊盜,104,1016,基隆市,七堵區
住宅竊盜,104,1016,新北市,三重區
住宅竊盜,104,1016,雲林縣,西螺鎮
住宅竊盜,104,1016,新北市,板橋區
住宅竊盜,104,1017,台南市,永康區
住宅竊盜,104,1017,宜蘭縣,冬山鄉
住宅竊盜,104,1017,台南市,學甲區
住宅竊盜,104,1017,雲林縣,麥寮鄉
住宅竊盜,104,1017,雲林縣,元長鄉
住宅竊盜,104,1017,宜蘭縣,羅東鎮
住宅竊盜,104,1017,雲林縣,虎尾鎮
住宅竊盜,104,1017,台南市,安平區
住宅竊盜,104,1018,台中市,豐原區
住宅竊盜,104,1018,台北市,萬華區
住宅竊盜,104,1018,台北市,中正區
住宅竊盜,104,1018,台中市,東區
住宅竊盜,104,1018,新竹縣,竹東鎮
住宅竊盜,104,1019,嘉義縣,民雄鄉
住宅竊盜,104,1019,台北市,萬華區
住宅竊盜,104,1019,南投縣,集集鎮
住宅竊盜,104,1019,南投縣,南投市
住宅竊盜,104,1019,苗栗縣,苗栗市
住宅竊盜,104,1019,台南市,東山區
住宅竊盜,104,1019,台南市,新營區
住宅竊盜,104,1019,新竹縣,橫山鄉
住宅竊盜,104,1019,台北市,中正區
住宅竊盜,104,1019,新北市,中和區
住宅竊盜,104,1019,台南市,安平區
住宅竊盜,104,1019,台南市,中西區
住宅竊盜,104,1019,新北市,中和區
住宅竊盜,104,1020,苗栗縣,頭份市
住宅竊盜,104,1020,台北市,大同區
住宅竊盜,104,1020,高雄市,新興區
住宅竊盜,104,1020,台北市,大同區
住宅竊盜,104,1020,新北市,新店區
住宅竊盜,104,1021,雲林縣,二崙鄉
住宅竊盜,104,1021,台北市,中正區
住宅竊盜,104,1021,彰化縣,員林市
住宅竊盜,104,1021,苗栗縣,大湖鄉
住宅竊盜,104,1021,嘉義縣,中埔鄉
住宅竊盜,104,1021,台北市,信義區
住宅竊盜,104,1021,新北市,新莊區
住宅竊盜,104,1021,台北市,士林區
住宅竊盜,104,1021,新北市,泰山區
住宅竊盜,104,1022,澎湖縣,湖西鄉
住宅竊盜,104,1022,苗栗縣,大湖鄉
住宅竊盜,104,1022,新北市,板橋區
住宅竊盜,104,1022,桃園市,大園區
住宅竊盜,104,1022,南投縣,南投市
住宅竊盜,104,1023,南投縣,南投市
住宅竊盜,104,1023,新北市,板橋區
住宅竊盜,104,1023,新北市,板橋區
住宅竊盜,104,1023,台中市,中區
住宅竊盜,104,1023,台中市,大里區
住宅竊盜,104,1023,宜蘭縣,冬山鄉
住宅竊盜,104,1023,新竹市,北區
住宅竊盜,104,1024,苗栗縣,大湖鄉
住宅竊盜,104,1024,新北市,新莊區
住宅竊盜,104,1024,雲林縣,西螺鎮
住宅竊盜,104,1024,台南市,安平區
住宅竊盜,104,1024,台北市,中正區
住宅竊盜,104,1024,新北市,新店區
住宅竊盜,104,1024,彰化縣,員林市
住宅竊盜,104,1024,苗栗縣,苑裡鎮
住宅竊盜,104,1024,新北市,板橋區
住宅竊盜,104,1025,澎湖縣,馬公市
住宅竊盜,104,1025,花蓮縣,玉里鎮
住宅竊盜,104,1025,新北市,永和區
住宅竊盜,104,1025,屏東縣,屏東市
住宅竊盜,104,1025,新北市,泰山區
住宅竊盜,104,1025,新北市,板橋區
住宅竊盜,104,1026,雲林縣,西螺鎮
住宅竊盜,104,1026,台北市,中山區
住宅竊盜,104,1026,台南市,新市區
住宅竊盜,104,1026,新竹縣,竹東鎮
住宅竊盜,104,1026,台北市,中山區
住宅竊盜,104,1026,台南市,關廟區
住宅竊盜,104,1026,苗栗縣,南庄鄉
住宅竊盜,104,1026,新北市,樹林區
住宅竊盜,104,1026,屏東縣,屏東市
